student_id,applications_sent,oa_attempted,oa_cleared,interviews_received,interviews_cleared,offers_received
1,100,85,38,9,1,1
2,102,73,22,4,2,0
3,84,66,26,6,1,1
4,86,56,27,10,4,0
5,47,35,14,6,2,1
6,129,88,42,11,3,1
7,114,99,25,10,3,1
8,129,101,64,14,3,2
9,99,80,31,10,4,2
10,54,46,27,9,6,1
11,111,78,29,8,2,0
12,139,88,32,4,0,0
13,54,34,14,6,2,0
14,117,81,43,9,1,0
15,119,61,20,8,4,3
16,141,97,47,12,5,2
17,135,88,27,6,4,2
18,95,78,25,9,4,1
19,80,59,19,10,4,1
20,82,57,20,5,2,0
21,123,78,20,5,3,2
22,89,65,26,3,0,0
23,62,39,11,3,1,0
24,40,33,14,5,1,0
25,145,105,14,6,1,0
26,146,93,44,13,6,0
27,66,46,17,5,2,2
28,69,58,25,6,2,0
29,89,58,19,6,3,0
30,109,71,34,9,4,1
31,75,56,16,5,2,1
32,32,22,11,3,1,0
33,84,68,32,8,0,0
34,71,45,17,0,0,0
35,112,70,22,3,1,1
36,42,27,11,3,1,0
37,149,110,25,5,2,1
38,110,92,20,12,6,1
39,62,39,14,5,1,0
40,78,66,29,8,2,0
41,105,75,14,5,1,0
42,147,120,45,15,6,2
43,83,70,33,11,3,1
44,57,46,18,2,2,0
45,54,42,21,4,3,0
46,141,119,52,7,5,2
47,80,58,31,14,8,3
48,82,59,24,9,5,1
49,102,83,40,10,4,0
50,115,80,28,14,6,2
51,26,22,5,3,3,0
52,132,104,49,19,8,3
53,62,40,19,8,1,0
54,57,47,21,11,2,1
55,30,24,13,4,2,0
56,85,54,24,9,4,2
57,42,30,9,4,3,0
58,147,100,12,4,2,0
59,131,101,32,6,1,0
60,74,50,19,2,0,0
61,128,107,45,10,6,4
62,78,61,30,9,4,1
63,67,50,21,10,1,0
64,59,48,18,4,3,1
65,143,102,40,15,7,2
66,59,44,16,4,1,0
67,147,106,47,18,6,2
68,36,24,11,5,1,0
69,122,75,38,9,2,1
70,45,31,10,6,3,2
71,120,83,23,8,0,0
72,45,30,6,2,0,0
73,116,83,39,13,5,2
74,123,82,26,13,9,4
75,112,97,43,15,6,2
76,97,71,33,11,5,1
77,138,118,41,15,5,1
78,103,64,29,10,5,1
79,127,93,32,11,1,0
80,126,86,43,14,5,2
81,124,74,38,13,6,2
82,101,77,40,6,3,0
83,109,68,17,3,2,0
84,95,62,24,8,3,2
85,65,52,17,4,3,1
86,44,30,14,1,0,0
87,63,45,16,5,4,0
88,31,24,14,2,1,0
89,52,43,15,0,0,0
90,132,92,28,5,1,0
91,57,34,13,5,0,0
92,101,82,31,9,3,1
93,145,97,37,9,4,0
94,88,70,32,7,3,1
95,45,34,15,3,1,0
96,114,97,32,11,3,1
97,132,98,38,14,2,1
98,34,27,8,1,0,0
99,60,48,16,6,2,1
100,44,30,11,0,0,0
101,141,98,41,11,4,0
102,116,70,15,6,1,1
103,45,35,11,4,2,0
104,88,63,31,17,10,4
105,45,28,8,1,1,0
106,90,56,17,4,2,1
107,32,24,7,0,0,0
108,74,54,26,8,3,0
109,35,31,11,5,2,1
110,45,31,24,3,1,0
111,99,76,32,13,3,1
112,110,78,18,5,1,1
113,31,20,9,3,1,0
114,103,59,26,9,6,1
115,45,37,15,6,2,0
116,80,54,26,5,1,0
117,112,84,28,11,5,1
118,139,100,33,8,2,1
119,35,26,10,4,0,0
120,134,90,28,6,3,2
121,64,44,14,4,0,0
122,147,126,47,12,3,0
123,125,83,25,13,8,3
124,136,91,48,14,6,1
125,98,77,44,9,3,2
126,142,87,38,5,1,0
127,30,17,6,1,0,0
128,44,32,16,4,0,0
129,122,89,43,13,8,1
130,41,29,15,3,1,1
131,83,52,16,4,1,1
132,60,48,19,6,3,1
133,29,20,9,3,2,0
134,29,21,9,5,3,0
