student_id,placed,package_lpa,role_type,company_type
1,1,5.5,Core Engineering,Product
2,0,0.0,Not Placed,Not Placed
3,1,5.32,Business Analyst,Service
4,0,0.0,Not Placed,Not Placed
5,1,6.37,Core Engineering,Startup
6,1,5.75,Business Analyst,Service
7,1,6.48,Core Engineering,Service
8,1,4.67,Core Engineering,Startup
9,1,5.89,Product Analyst,Startup
10,1,6.26,Business Analyst,Startup
11,0,0.0,Not Placed,Not Placed
12,0,0.0,Not Placed,Not Placed
13,0,0.0,Not Placed,Not Placed
14,0,0.0,Not Placed,Not Placed
15,1,7.23,Business Analyst,Service
16,1,5.71,Consulting,Service
17,1,7.3,Business Analyst,Startup
18,1,6.89,Data Analyst,Service
19,1,5.78,Product Analyst,Core
20,0,0.0,Not Placed,Not Placed
21,1,6.31,Consulting,Startup
22,0,0.0,Not Placed,Not Placed
23,0,0.0,Not Placed,Not Placed
24,0,0.0,Not Placed,Not Placed
25,0,0.0,Not Placed,Not Placed
26,0,0.0,Not Placed,Not Placed
27,1,3.01,Core Engineering,Service
28,0,0.0,Not Placed,Not Placed
29,0,0.0,Not Placed,Not Placed
30,1,4.56,Core Engineering,Consulting
31,1,4.6,Software Engineer,Startup
32,0,0.0,Not Placed,Not Placed
33,0,0.0,Not Placed,Not Placed
34,0,0.0,Not Placed,Not Placed
35,1,4.27,Software Engineer,Product
36,0,0.0,Not Placed,Not Placed
37,1,6.81,Data Analyst,Consulting
38,1,5.52,Data Analyst,Product
39,0,0.0,Not Placed,Not Placed
40,0,0.0,Not Placed,Not Placed
41,0,0.0,Not Placed,Not Placed
42,1,6.79,Software Engineer,Core
43,1,5.26,Software Engineer,Startup
44,0,0.0,Not Placed,Not Placed
45,0,0.0,Not Placed,Not Placed
46,1,7.04,Software Engineer,Service
47,1,6.99,Software Engineer,Service
48,1,4.72,Product Analyst,Consulting
49,0,0.0,Not Placed,Not Placed
50,1,8.52,Product Analyst,Product
51,0,0.0,Not Placed,Not Placed
52,1,4.44,Software Engineer,Startup
53,0,0.0,Not Placed,Not Placed
54,1,7.4,Data Analyst,Product
55,0,0.0,Not Placed,Not Placed
56,1,3.33,Business Analyst,Consulting
57,0,0.0,Not Placed,Not Placed
58,0,0.0,Not Placed,Not Placed
59,0,0.0,Not Placed,Not Placed
60,0,0.0,Not Placed,Not Placed
61,1,5.68,Consulting,Consulting
62,1,8.05,Software Engineer,Service
63,0,0.0,Not Placed,Not Placed
64,1,5.03,Core Engineering,Product
65,1,4.99,Product Analyst,Consulting
66,0,0.0,Not Placed,Not Placed
67,1,5.66,Core Engineering,Startup
68,0,0.0,Not Placed,Not Placed
69,1,6.02,Data Analyst,Startup
