student_id,branch,college_tier,cgpa,internships,projects,certifications,resume_score,readiness_score
1,IT,3,7.85,0,3,6,44.0,100.0
2,ECE,3,7.04,0,3,6,44.0,100.0
3,Mechanical,3,7.19,0,4,5,56.0,100.0
4,CSE,2,8.13,1,2,6,49.0,100.0
5,EEE,3,8.7,1,1,6,47.0,100.0
6,Mechanical,3,8.1,0,6,5,78.0,100.0
7,Civil,3,7.18,0,1,0,24.0,86.6
8,Mechanical,3,5.8,0,3,5,38.0,100.0
9,CSE,2,7.21,0,1,5,38.0,100.0
10,CSE,3,5.27,0,5,3,41.0,100.0
11,Mechanical,2,9.98,1,1,3,23.0,100.0
12,CSE,3,7.62,1,2,6,54.0,100.0
13,IT,2,8.76,0,5,6,68.0,100.0
14,CSE,3,6.83,2,7,1,100.0,100.0
15,Mechanical,3,6.27,1,7,3,84.0,100.0
16,ECE,3,7.73,1,5,3,62.0,100.0
17,EEE,3,6.57,1,4,0,52.0,100.0
18,Mechanical,3,7.6,2,6,4,91.0,100.0
19,IT,2,8.64,1,5,6,72.0,100.0
20,ECE,3,7.49,1,7,0,70.0,100.0
21,CSE,3,5.84,1,5,4,70.0,100.0
22,Mechanical,2,6.46,0,5,4,63.0,92.3
23,Mechanical,3,6.24,0,4,1,42.0,90.5
24,IT,3,7.33,0,6,2,68.0,100.0
25,CSE,2,6.38,0,1,4,24.0,82.2
26,Civil,3,7.16,1,6,1,68.0,100.0
27,ECE,2,6.85,0,1,4,40.0,100.0
28,IT,3,7.76,2,6,5,84.0,100.0
29,CSE,3,9.82,0,5,5,68.0,100.0
30,Mechanical,3,6.62,0,5,2,44.0,100.0
31,ECE,3,9.2,0,7,6,74.0,100.0
32,Mechanical,2,7.6,0,2,1,20.0,100.0
33,ECE,2,9.71,0,3,5,42.0,100.0
34,Mechanical,2,7.25,0,3,4,44.0,100.0
35,ECE,3,5.84,0,2,2,2.0,88.3
36,IT,1,7.2,1,5,5,66.0,100.0
37,Mechanical,2,6.63,1,2,1,30.0,100.0
38,Mechanical,2,8.07,0,2,2,26.0,92.6
39,CSE,3,5.85,0,3,5,36.0,100.0
40,CSE,2,6.29,1,5,6,71.0,100.0
41,IT,3,7.77,1,7,5,89.0,100.0
42,EEE,3,6.57,0,3,1,26.0,100.0
43,ECE,3,8.57,0,2,6,38.0,100.0
44,IT,3,8.22,1,2,6,62.0,100.0
45,Mechanical,3,6.68,1,1,3,29.0,99.9
46,CSE,2,6.55,1,7,6,99.0,100.0
47,ECE,3,8.39,0,3,1,27.0,100.0
48,CSE,3,5.82,1,2,1,31.0,100.0
49,EEE,3,7.75,1,2,3,46.0,100.0
50,IT,1,6.81,2,6,2,82.0,100.0
51,Mechanical,1,8.77,1,2,1,41.0,100.0
52,EEE,3,6.86,0,2,3,42.0,100.0
53,CSE,3,7.15,0,4,6,59.0,100.0
54,CSE,2,7.13,3,7,5,100.0,100.0
55,EEE,3,8.9,1,1,1,43.0,100.0
56,CSE,2,6.17,1,7,2,73.0,100.0
57,ECE,3,6.3,1,1,3,25.0,100.0
